"sp_ticker","type","date","value","percentage"
CTRA,Forward Dividend & Yield,"2023-02-15","2.49 (9.93%)","9.93"
DVN,Forward Dividend & Yield,"2023-02-15","5.40 (8.50%)","8.50"
MO,Forward Dividend & Yield,"2023-02-15","3.76 (7.96%)","7.96"
VZ,Forward Dividend & Yield,"2023-02-15","2.61 (6.47%)","6.47"
NWL,Forward Dividend & Yield,"2023-02-15","0.92 (6.17%)","6.17"
KMI,Forward Dividend & Yield,"2023-02-15","1.11 (6.06%)","6.06"
FANG,Forward Dividend & Yield,"2023-02-15","8.96 (6.04%)","6.04"
T,Forward Dividend & Yield,"2023-02-15","1.11 (5.82%)","5.82"
SPG,Forward Dividend & Yield,"2023-02-15","7.20 (5.74%)","5.74"
WMB,Forward Dividend & Yield,"2023-02-15","1.79 (5.61%)","5.61"
OKE,Forward Dividend & Yield,"2023-02-15","3.82 (5.48%)","5.48"
BXP,Forward Dividend & Yield,"2023-02-15","3.92 (5.40%)","5.40"
WBA,Forward Dividend & Yield,"2023-02-15","1.92 (5.36%)","5.36"
MMM,Forward Dividend & Yield,"2023-02-15","6.00 (5.27%)","5.27"
LNC,Forward Dividend & Yield,"2023-02-15","1.80 (5.13%)","5.13"
INTC,Forward Dividend & Yield,"2023-02-15","1.46 (5.10%)","5.10"
PM,Forward Dividend & Yield,"2023-02-15","5.08 (4.96%)","4.96"
HAS,Forward Dividend & Yield,"2023-02-15","2.80 (4.88%)","4.88"
IBM,Forward Dividend & Yield,"2023-02-15","6.60 (4.87%)","4.87"
PRU,Forward Dividend & Yield,"2023-02-15","5.00 (4.86%)","4.86"
IP,Forward Dividend & Yield,"2023-02-15","1.85 (4.79%)","4.79"
DOW,Forward Dividend & Yield,"2023-02-15","2.80 (4.74%)","4.74"
WHR,Forward Dividend & Yield,"2023-02-15","7.00 (4.74%)","4.74"
F,Forward Dividend & Yield,"2023-02-15","0.60 (4.71%)","4.71"
LYB,Forward Dividend & Yield,"2023-02-15","4.76 (4.71%)","4.71"
PNW,Forward Dividend & Yield,"2023-02-15","3.46 (4.67%)","4.67"
IRM,Forward Dividend & Yield,"2023-02-15","2.47 (4.65%)","4.65"
NEM,Forward Dividend & Yield,"2023-02-15","2.20 (4.59%)","4.59"
VICI,Forward Dividend & Yield,"2023-02-15","1.56 (4.52%)","4.52"
PEAK,Forward Dividend & Yield,"2023-02-15","1.20 (4.50%)","4.50"
D,Forward Dividend & Yield,"2023-02-15","2.67 (4.48%)","4.48"
O,Forward Dividend & Yield,"2023-02-15","2.98 (4.46%)","4.46"
PARA,Forward Dividend & Yield,"2023-02-15","0.96 (4.45%)","4.45"
VFC,Forward Dividend & Yield,"2023-02-15","1.20 (4.43%)","4.43"
CCI,Forward Dividend & Yield,"2023-02-15","6.26 (4.42%)","4.42"
EIX,Forward Dividend & Yield,"2023-02-15","2.95 (4.40%)","4.40"
AMCR,Forward Dividend & Yield,"2023-02-15","0.49 (4.32%)","4.32"
DLR,Forward Dividend & Yield,"2023-02-15","4.88 (4.32%)","4.32"
NRG,Forward Dividend & Yield,"2023-02-15","1.51 (4.30%)","4.30"
TFC,Forward Dividend & Yield,"2023-02-15","2.08 (4.26%)","4.26"
KIM,Forward Dividend & Yield,"2023-02-15","0.92 (4.25%)","4.25"
KEY,Forward Dividend & Yield,"2023-02-15","0.82 (4.17%)","4.17"
EVRG,Forward Dividend & Yield,"2023-02-15","2.45 (4.11%)","4.11"
VTRS,Forward Dividend & Yield,"2023-02-15","0.48 (4.10%)","4.10"
